date,day_of_week,workingday,total_rides
2011-01-01,6,weekend,654
2011-01-02,0,weekend,670
2011-01-03,1,workday,1229
2011-01-04,2,workday,1454
2011-01-05,3,workday,1518
2011-01-06,4,workday,1518
2011-01-07,5,workday,1362
2011-01-08,6,weekend,891
2011-01-09,0,weekend,768
2011-01-10,1,workday,1280
2011-01-11,2,workday,1220
2011-01-12,3,workday,1137
2011-01-13,4,workday,1368
2011-01-14,5,workday,1367
2011-01-15,6,weekend,1026
2011-01-16,0,weekend,953
2011-01-17,1,weekend,883
2011-01-18,2,workday,674
2011-01-19,3,workday,1572
2011-01-20,4,workday,1844
2011-01-21,5,workday,1468
2011-01-22,6,weekend,888
2011-01-23,0,weekend,836
2011-01-24,1,workday,1330
2011-01-25,2,workday,1799
2011-01-26,3,workday,472
2011-01-27,4,workday,416
2011-01-28,5,workday,1129
2011-01-29,6,weekend,975
2011-01-30,0,weekend,956
2011-01-31,1,workday,1459
2011-02-01,2,workday,1313
2011-02-02,3,workday,1454
2011-02-03,4,workday,1489
2011-02-04,5,workday,1620
2011-02-05,6,weekend,905
2011-02-06,0,weekend,1269
2011-02-07,1,workday,1592
2011-02-08,2,workday,1466
2011-02-09,3,workday,1552
2011-02-10,4,workday,1491
2011-02-11,5,workday,1597
2011-02-12,6,weekend,1184
2011-02-13,0,weekend,1192
2011-02-14,1,workday,1705
2011-02-15,2,workday,1675
2011-02-16,3,workday,1897
2011-02-17,4,workday,2216
2011-02-18,5,workday,2348
2011-02-19,6,weekend,1103
2011-02-20,0,weekend,1173
2011-02-21,1,weekend,912
2011-02-22,2,workday,1376
2011-02-23,3,workday,1778
2011-02-24,4,workday,1707
2011-02-25,5,workday,1341
2011-02-26,6,weekend,1545
2011-02-27,0,weekend,1708
2011-02-28,1,workday,1365
2011-03-01,2,workday,1714
2011-03-02,3,workday,1903
2011-03-03,4,workday,1562
2011-03-04,5,workday,1730
2011-03-05,6,weekend,1437
2011-03-06,0,weekend,491
2011-03-07,1,workday,1628
2011-03-08,2,workday,1817
2011-03-09,3,workday,1700
2011-03-10,4,workday,577
2011-03-11,5,workday,1730
2011-03-12,6,weekend,1408
2011-03-13,0,weekend,1435
2011-03-14,1,workday,1687
2011-03-15,2,workday,1767
2011-03-16,3,workday,1871
2011-03-17,4,workday,2320
2011-03-18,5,workday,2355
2011-03-19,6,weekend,1693
2011-03-20,0,weekend,1424
2011-03-21,1,workday,1676
2011-03-22,2,workday,2243
2011-03-23,3,workday,1918
2011-03-24,4,workday,1699
2011-03-25,5,workday,1910
2011-03-26,6,weekend,1515
2011-03-27,0,weekend,1221
2011-03-28,1,workday,1806
2011-03-29,2,workday,2108
2011-03-30,3,workday,1368
2011-03-31,4,workday,1506
2011-04-01,5,workday,1920
2011-04-02,6,weekend,1354
2011-04-03,0,weekend,1598
2011-04-04,1,workday,2381
2011-04-05,2,workday,1628
2011-04-06,3,workday,2395
2011-04-07,4,workday,2570
2011-04-08,5,workday,1299
2011-04-09,6,weekend,1576
2011-04-10,0,weekend,1707
2011-04-11,1,workday,2493
2011-04-12,2,workday,1777
2011-04-13,3,workday,1953
2011-04-14,4,workday,2738
2011-04-15,5,weekend,2484
2011-04-16,6,weekend,674
2011-04-17,0,weekend,2186
2011-04-18,1,workday,2760
2011-04-19,2,workday,2795
2011-04-20,3,workday,3331
2011-04-21,4,workday,3444
2011-04-22,5,workday,1506
2011-04-23,6,weekend,2574
2011-04-24,0,weekend,2481
2011-04-25,1,workday,3300
2011-04-26,2,workday,3722
2011-04-27,3,workday,3325
2011-04-28,4,workday,3489
2011-04-29,5,workday,3717
2011-04-30,6,weekend,3347
2011-05-01,0,weekend,2213
2011-05-02,1,workday,3554
2011-05-03,2,workday,3848
2011-05-04,3,workday,2378
2011-05-05,4,workday,3819
2011-05-06,5,workday,3714
2011-05-07,6,weekend,3102
2011-05-08,0,weekend,2932
2011-05-09,1,workday,3698
2011-05-10,2,workday,4109
2011-05-11,3,workday,3632
2011-05-12,4,workday,4169
2011-05-13,5,workday,3413
2011-05-14,6,weekend,2507
2011-05-15,0,weekend,2971
2011-05-16,1,workday,3185
2011-05-17,2,workday,3445
2011-05-18,3,workday,3319
2011-05-19,4,workday,3840
2011-05-20,5,workday,4008
2011-05-21,6,weekend,3547
2011-05-22,0,weekend,3084
2011-05-23,1,workday,3438
2011-05-24,2,workday,3833
2011-05-25,3,workday,4238
2011-05-26,4,workday,3919
2011-05-27,5,workday,3808
2011-05-28,6,weekend,2757
2011-05-29,0,weekend,2433
2011-05-30,1,weekend,2549
2011-05-31,2,workday,3309
2011-06-01,3,workday,3461
2011-06-02,4,workday,4232
2011-06-03,5,workday,4414
2011-06-04,6,weekend,3473
2011-06-05,0,weekend,3221
2011-06-06,1,workday,3875
2011-06-07,2,workday,4070
2011-06-08,3,workday,3725
2011-06-09,4,workday,3352
2011-06-10,5,workday,3771
2011-06-11,6,weekend,3237
2011-06-12,0,weekend,2993
2011-06-13,1,workday,4157
2011-06-14,2,workday,4164
2011-06-15,3,workday,4411
2011-06-16,4,workday,3222
2011-06-17,5,workday,3981
2011-06-18,6,weekend,3312
2011-06-19,0,weekend,3105
2011-06-20,1,workday,3311
2011-06-21,2,workday,4061
2011-06-22,3,workday,3846
2011-06-23,4,workday,4044
2011-06-24,5,workday,4022
2011-06-25,6,weekend,3420
2011-06-26,0,weekend,3385
2011-06-27,1,workday,3854
2011-06-28,2,workday,3916
2011-06-29,3,workday,4377
2011-06-30,4,workday,4488
2011-07-01,5,workday,4116
2011-07-02,6,weekend,2915
2011-07-03,0,weekend,2367
2011-07-04,1,weekend,2978
2011-07-05,2,workday,3634
2011-07-06,3,workday,3845
2011-07-07,4,workday,3838
2011-07-08,5,workday,3348
2011-07-09,6,weekend,3348
2011-07-10,0,weekend,3138
2011-07-11,1,workday,3363
2011-07-12,2,workday,3596
2011-07-13,3,workday,3594
2011-07-14,4,workday,4196
2011-07-15,5,workday,4220
2011-07-16,6,weekend,3505
2011-07-17,0,weekend,3296
2011-07-18,1,workday,3617
2011-07-19,2,workday,3789
2011-07-20,3,workday,3688
2011-07-21,4,workday,3152
2011-07-22,5,workday,2825
2011-07-23,6,weekend,2298
2011-07-24,0,weekend,2556
2011-07-25,1,workday,3272
2011-07-26,2,workday,3840
2011-07-27,3,workday,3901
2011-07-28,4,workday,3784
2011-07-29,5,workday,3176
2011-07-30,6,weekend,2916
2011-07-31,0,weekend,2778
2011-08-01,1,workday,3537
2011-08-02,2,workday,4044
2011-08-03,3,workday,3107
2011-08-04,4,workday,3777
2011-08-05,5,workday,3843
2011-08-06,6,weekend,2773
2011-08-07,0,weekend,2487
2011-08-08,1,workday,3480
2011-08-09,2,workday,3695
2011-08-10,3,workday,3896
2011-08-11,4,workday,3980
2011-08-12,5,workday,3854
2011-08-13,6,weekend,2646
2011-08-14,0,weekend,2482
2011-08-15,1,workday,3563
2011-08-16,2,workday,4004
2011-08-17,3,workday,4026
2011-08-18,4,workday,3166
2011-08-19,5,workday,3356
2011-08-20,6,weekend,3277
2011-08-21,0,weekend,2624
2011-08-22,1,workday,3925
2011-08-23,2,workday,4614
2011-08-24,3,workday,4181
2011-08-25,4,workday,3107
2011-08-26,5,workday,3893
2011-08-27,6,weekend,889
2011-08-28,0,weekend,2919
2011-08-29,1,workday,3905
2011-08-30,2,workday,4429
2011-08-31,3,workday,4370
2011-09-01,4,workday,4332
2011-09-02,5,workday,3852
2011-09-03,6,weekend,2549
2011-09-04,0,weekend,2419
2011-09-05,1,weekend,2115
2011-09-06,2,workday,2506
2011-09-07,3,workday,1878
2011-09-08,4,workday,1689
2011-09-09,5,workday,3127
2011-09-10,6,weekend,3595
2011-09-11,0,weekend,3413
2011-09-12,1,workday,4023
2011-09-13,2,workday,4062
2011-09-14,3,workday,4138
2011-09-15,4,workday,3231
2011-09-16,5,workday,4018
2011-09-17,6,weekend,3077
2011-09-18,0,weekend,2921
2011-09-19,1,workday,3848
2011-09-20,2,workday,3203
2011-09-21,3,workday,3813
2011-09-22,4,workday,4240
2011-09-23,5,workday,2137
2011-09-24,6,weekend,3647
2011-09-25,0,weekend,3466
2011-09-26,1,workday,3946
2011-09-27,2,workday,3643
2011-09-28,3,workday,3427
2011-09-29,4,workday,4186
2011-09-30,5,workday,4372
2011-10-01,6,weekend,1949
2011-10-02,0,weekend,2302
2011-10-03,1,workday,3240
2011-10-04,2,workday,3970
2011-10-05,3,workday,4267
2011-10-06,4,workday,4126
2011-10-07,5,workday,4036
2011-10-08,6,weekend,3174
2011-10-09,0,weekend,3114
2011-10-10,1,weekend,3603
2011-10-11,2,workday,3896
2011-10-12,3,workday,2199
2011-10-13,4,workday,2623
2011-10-14,5,workday,3115
2011-10-15,6,weekend,3318
2011-10-16,0,weekend,3293
2011-10-17,1,workday,3857
2011-10-18,2,workday,4111
2011-10-19,3,workday,2170
2011-10-20,4,workday,3724
2011-10-21,5,workday,3628
2011-10-22,6,weekend,2809
2011-10-23,0,weekend,2762
2011-10-24,1,workday,3488
2011-10-25,2,workday,3992
2011-10-26,3,workday,3490
2011-10-27,4,workday,2419
2011-10-28,5,workday,3291
2011-10-29,6,weekend,570
2011-10-30,0,weekend,2446
2011-10-31,1,workday,3307
2011-11-01,2,workday,3658
2011-11-02,3,workday,3816
2011-11-03,4,workday,3656
2011-11-04,5,workday,3576
2011-11-05,6,weekend,2770
2011-11-06,0,weekend,2697
2011-11-07,1,workday,3662
2011-11-08,2,workday,3829
2011-11-09,3,workday,3804
2011-11-10,4,workday,2743
2011-11-11,5,weekend,2928
2011-11-12,6,weekend,2792
2011-11-13,0,weekend,2713
2011-11-14,1,workday,3891
2011-11-15,2,workday,3746
2011-11-16,3,workday,1672
2011-11-17,4,workday,2914
2011-11-18,5,workday,3147
2011-11-19,6,weekend,2720
2011-11-20,0,weekend,2733
2011-11-21,1,workday,2545
2011-11-22,2,workday,1538
2011-11-23,3,workday,2454
2011-11-24,4,weekend,935
2011-11-25,5,workday,1697
2011-11-26,6,weekend,1819
2011-11-27,0,weekend,2261
2011-11-28,1,workday,3614
2011-11-29,2,workday,2818
2011-11-30,3,workday,3425
2011-12-01,4,workday,3545
2011-12-02,5,workday,3672
2011-12-03,6,weekend,2908
2011-12-04,0,weekend,2851
2011-12-05,1,workday,3578
2011-12-06,2,workday,2468
2011-12-07,3,workday,655
2011-12-08,4,workday,3172
2011-12-09,5,workday,3359
2011-12-10,6,weekend,2688
2011-12-11,0,weekend,2366
2011-12-12,1,workday,3167
2011-12-13,2,workday,3368
2011-12-14,3,workday,3562
2011-12-15,4,workday,3528
2011-12-16,5,workday,3399
2011-12-17,6,weekend,2464
2011-12-18,0,weekend,2211
2011-12-19,1,workday,3143
2011-12-20,2,workday,3534
2011-12-21,3,workday,2553
2011-12-22,4,workday,2841
2011-12-23,5,workday,2046
2011-12-24,6,weekend,856
2011-12-25,0,weekend,451
2011-12-26,1,weekend,887
2011-12-27,2,workday,1059
2011-12-28,3,workday,2047
2011-12-29,4,workday,2169
2011-12-30,5,workday,2508
2011-12-31,6,weekend,1820
2012-01-01,0,weekend,1608
2012-01-02,1,weekend,1707
2012-01-03,2,workday,2147
2012-01-04,3,workday,2273
2012-01-05,4,workday,3132
2012-01-06,5,workday,3791
2012-01-07,6,weekend,3451
2012-01-08,0,weekend,2826
2012-01-09,1,workday,2270
2012-01-10,2,workday,3425
2012-01-11,3,workday,2085
2012-01-12,4,workday,3828
2012-01-13,5,workday,3040
2012-01-14,6,weekend,2160
2012-01-15,0,weekend,2027
2012-01-16,1,weekend,2081
2012-01-17,2,workday,2808
2012-01-18,3,workday,3267
2012-01-19,4,workday,3162
2012-01-20,5,workday,3048
2012-01-21,6,weekend,1234
2012-01-22,0,weekend,1781
2012-01-23,1,workday,2287
2012-01-24,2,workday,3900
2012-01-25,3,workday,3803
2012-01-26,4,workday,3831
2012-01-27,5,workday,3187
2012-01-28,6,weekend,3248
2012-01-29,0,weekend,2685
2012-01-30,1,workday,3498
2012-01-31,2,workday,4185
2012-02-01,3,workday,4275
2012-02-02,4,workday,3571
2012-02-03,5,workday,3841
2012-02-04,6,weekend,2448
2012-02-05,0,weekend,2629
2012-02-06,1,workday,3578
2012-02-07,2,workday,4176
2012-02-08,3,workday,2693
2012-02-09,4,workday,3667
2012-02-10,5,workday,3604
2012-02-11,6,weekend,1977
2012-02-12,0,weekend,1456
2012-02-13,1,workday,3328
2012-02-14,2,workday,3787
2012-02-15,3,workday,4028
2012-02-16,4,workday,2931
2012-02-17,5,workday,3805
2012-02-18,6,weekend,2883
2012-02-19,0,weekend,2071
2012-02-20,1,weekend,2627
2012-02-21,2,workday,3614
2012-02-22,3,workday,4379
2012-02-23,4,workday,4546
2012-02-24,5,workday,3241
2012-02-25,6,weekend,2415
2012-02-26,0,weekend,2874
2012-02-27,1,workday,4069
2012-02-28,2,workday,4134
2012-02-29,3,workday,1769
2012-03-01,4,workday,4665
2012-03-02,5,workday,2948
2012-03-03,6,weekend,3110
2012-03-04,0,weekend,2713
2012-03-05,1,workday,3130
2012-03-06,2,workday,3735
2012-03-07,3,workday,4484
2012-03-08,4,workday,4896
2012-03-09,5,workday,4122
2012-03-10,6,weekend,3150
2012-03-11,0,weekend,3253
2012-03-12,1,workday,4460
2012-03-13,2,workday,5085
2012-03-14,3,workday,5315
2012-03-15,4,workday,5187
2012-03-16,5,workday,3830
2012-03-17,6,weekend,4681
2012-03-18,0,weekend,3685
2012-03-19,1,workday,5171
2012-03-20,2,workday,5042
2012-03-21,3,workday,5108
2012-03-22,4,workday,5537
2012-03-23,5,workday,5893
2012-03-24,6,weekend,2339
2012-03-25,0,weekend,3464
2012-03-26,1,workday,4763
2012-03-27,2,workday,4571
2012-03-28,3,workday,5024
2012-03-29,4,workday,5299
2012-03-30,5,workday,4663
2012-03-31,6,weekend,3934
2012-04-01,0,weekend,3694
2012-04-02,1,workday,4728
2012-04-03,2,workday,5424
2012-04-04,3,workday,5378
2012-04-05,4,workday,5265
2012-04-06,5,workday,4653
2012-04-07,6,weekend,3605
2012-04-08,0,weekend,2939
2012-04-09,1,workday,4680
2012-04-10,2,workday,5099
2012-04-11,3,workday,4380
2012-04-12,4,workday,4746
2012-04-13,5,workday,5146
2012-04-14,6,weekend,4665
2012-04-15,0,weekend,4286
2012-04-16,1,weekend,5172
2012-04-17,2,workday,5702
2012-04-18,3,workday,4020
2012-04-19,4,workday,5719
2012-04-20,5,workday,5950
2012-04-21,6,weekend,4083
2012-04-22,0,weekend,907
2012-04-23,1,workday,3019
2012-04-24,2,workday,5115
2012-04-25,3,workday,5541
2012-04-26,4,workday,4551
2012-04-27,5,workday,5219
2012-04-28,6,weekend,3100
2012-04-29,0,weekend,4075
2012-04-30,1,workday,4907
2012-05-01,2,workday,5087
2012-05-02,3,workday,5502
2012-05-03,4,workday,5657
2012-05-04,5,workday,5227
2012-05-05,6,weekend,4387
2012-05-06,0,weekend,4224
2012-05-07,1,workday,5265
2012-05-08,2,workday,4990
2012-05-09,3,workday,4097
2012-05-10,4,workday,5546
2012-05-11,5,workday,5711
2012-05-12,6,weekend,4807
2012-05-13,0,weekend,3946
2012-05-14,1,workday,2501
2012-05-15,2,workday,4490
2012-05-16,3,workday,6433
2012-05-17,4,workday,6142
2012-05-18,5,workday,6118
2012-05-19,6,weekend,4884
2012-05-20,0,weekend,4425
2012-05-21,1,workday,3729
2012-05-22,2,workday,5254
2012-05-23,3,workday,4494
2012-05-24,4,workday,5711
2012-05-25,5,workday,5317
2012-05-26,6,weekend,3681
2012-05-27,0,weekend,3308
2012-05-28,1,weekend,3486
2012-05-29,2,workday,4863
2012-05-30,3,workday,6110
2012-05-31,4,workday,6238
2012-06-01,5,workday,3594
2012-06-02,6,weekend,5325
2012-06-03,0,weekend,5147
2012-06-04,1,workday,5927
2012-06-05,2,workday,6033
2012-06-06,3,workday,6028
2012-06-07,4,workday,6456
2012-06-08,5,workday,6248
2012-06-09,6,weekend,4790
2012-06-10,0,weekend,4374
2012-06-11,1,workday,5647
2012-06-12,2,workday,4495
2012-06-13,3,workday,6248
2012-06-14,4,workday,6183
2012-06-15,5,workday,6102
2012-06-16,6,weekend,4739
2012-06-17,0,weekend,4344
2012-06-18,1,workday,4446
2012-06-19,2,workday,5857
2012-06-20,3,workday,5339
2012-06-21,4,workday,5127
2012-06-22,5,workday,4859
2012-06-23,6,weekend,4801
2012-06-24,0,weekend,4340
2012-06-25,1,workday,5640
2012-06-26,2,workday,6365
2012-06-27,3,workday,6258
2012-06-28,4,workday,5958
2012-06-29,5,workday,4634
2012-06-30,6,weekend,4232
2012-07-01,0,weekend,4110
2012-07-02,1,workday,5323
2012-07-03,2,workday,5608
2012-07-04,3,weekend,4841
2012-07-05,4,workday,4836
2012-07-06,5,workday,4841
2012-07-07,6,weekend,3392
2012-07-08,0,weekend,3469
2012-07-09,1,workday,5571
2012-07-10,2,workday,5336
2012-07-11,3,workday,6289
2012-07-12,4,workday,6414
2012-07-13,5,workday,5988
2012-07-14,6,weekend,4614
2012-07-15,0,weekend,4111
2012-07-16,1,workday,5742
2012-07-17,2,workday,5865
2012-07-18,3,workday,4914
2012-07-19,4,workday,5703
2012-07-20,5,workday,5123
2012-07-21,6,weekend,3195
2012-07-22,0,weekend,4866
2012-07-23,1,workday,5831
2012-07-24,2,workday,6452
2012-07-25,3,workday,6790
2012-07-26,4,workday,5825
2012-07-27,5,workday,5645
2012-07-28,6,weekend,4451
2012-07-29,0,weekend,4444
2012-07-30,1,workday,6065
2012-07-31,2,workday,6248
2012-08-01,3,workday,6506
2012-08-02,4,workday,6278
2012-08-03,5,workday,5847
2012-08-04,6,weekend,4479
2012-08-05,0,weekend,3757
2012-08-06,1,workday,5780
2012-08-07,2,workday,5995
2012-08-08,3,workday,6271
2012-08-09,4,workday,6090
2012-08-10,5,workday,4721
2012-08-11,6,weekend,4052
2012-08-12,0,weekend,4362
2012-08-13,1,workday,5676
2012-08-14,2,workday,5656
2012-08-15,3,workday,6149
2012-08-16,4,workday,6267
2012-08-17,5,workday,5665
2012-08-18,6,weekend,5038
2012-08-19,0,weekend,3341
2012-08-20,1,workday,5504
2012-08-21,2,workday,5925
2012-08-22,3,workday,6281
2012-08-23,4,workday,6402
2012-08-24,5,workday,6257
2012-08-25,6,weekend,4224
2012-08-26,0,weekend,3772
2012-08-27,1,workday,5928
2012-08-28,2,workday,6105
2012-08-29,3,workday,6520
2012-08-30,4,workday,6541
2012-08-31,5,workday,5917
2012-09-01,6,weekend,3788
2012-09-02,0,weekend,3197
2012-09-03,1,weekend,4069
2012-09-04,2,workday,5997
2012-09-05,3,workday,6280
2012-09-06,4,workday,5592
2012-09-07,5,workday,6459
2012-09-08,6,weekend,4419
2012-09-09,0,weekend,5657
2012-09-10,1,workday,6407
2012-09-11,2,workday,6697
2012-09-12,3,workday,6820
2012-09-13,4,workday,6750
2012-09-14,5,workday,6630
2012-09-15,6,weekend,5554
2012-09-16,0,weekend,5167
2012-09-17,1,workday,5847
2012-09-18,2,workday,3702
2012-09-19,3,workday,6803
2012-09-20,4,workday,6781
2012-09-21,5,workday,6917
2012-09-22,6,weekend,5883
2012-09-23,0,weekend,5453
2012-09-24,1,workday,6435
2012-09-25,2,workday,6693
2012-09-26,3,workday,6946
2012-09-27,4,workday,6642
2012-09-28,5,workday,6370
2012-09-29,6,weekend,5966
2012-09-30,0,weekend,4874
2012-10-01,1,workday,6015
2012-10-02,2,workday,4324
2012-10-03,3,workday,6844
2012-10-04,4,workday,6437
2012-10-05,5,workday,6640
2012-10-06,6,weekend,4934
2012-10-07,0,weekend,2729
2012-10-08,1,weekend,4604
2012-10-09,2,workday,5791
2012-10-10,3,workday,6911
2012-10-11,4,workday,6736
2012-10-12,5,workday,6222
2012-10-13,6,weekend,4857
2012-10-14,0,weekend,4559
2012-10-15,1,workday,5115
2012-10-16,2,workday,6612
2012-10-17,3,workday,6482
2012-10-18,4,workday,6501
2012-10-19,5,workday,4671
2012-10-20,6,weekend,5284
2012-10-21,0,weekend,4692
2012-10-22,1,workday,6228
2012-10-23,2,workday,6625
2012-10-24,3,workday,6898
2012-10-25,4,workday,6484
2012-10-26,5,workday,6262
2012-10-27,6,weekend,5209
2012-10-28,0,weekend,3461
2012-10-29,1,workday,20
2012-10-30,2,workday,1009
2012-10-31,3,workday,5147
2012-11-01,4,workday,5520
2012-11-02,5,workday,5229
2012-11-03,6,weekend,4109
2012-11-04,0,weekend,3906
2012-11-05,1,workday,4881
2012-11-06,2,workday,5220
2012-11-07,3,workday,4709
2012-11-08,4,workday,4975
2012-11-09,5,workday,5283
2012-11-10,6,weekend,4446
2012-11-11,0,weekend,4562
2012-11-12,1,weekend,5172
2012-11-13,2,workday,3767
2012-11-14,3,workday,5122
2012-11-15,4,workday,5125
2012-11-16,5,workday,5214
2012-11-17,6,weekend,4316
2012-11-18,0,weekend,3747
2012-11-19,1,workday,5050
2012-11-20,2,workday,5100
2012-11-21,3,workday,4531
2012-11-22,4,weekend,1470
2012-11-23,5,workday,2307
2012-11-24,6,weekend,1745
2012-11-25,0,weekend,2115
2012-11-26,1,workday,4750
2012-11-27,2,workday,3836
2012-11-28,3,workday,5062
2012-11-29,4,workday,5080
2012-11-30,5,workday,5306
2012-12-01,6,weekend,4240
2012-12-02,0,weekend,3757
2012-12-03,1,workday,5679
2012-12-04,2,workday,6055
2012-12-05,3,workday,5398
2012-12-06,4,workday,5035
2012-12-07,5,workday,4659
2012-12-08,6,weekend,4429
2012-12-09,0,weekend,2787
2012-12-10,1,workday,4841
2012-12-11,2,workday,5219
2012-12-12,3,workday,5009
2012-12-13,4,workday,5107
2012-12-14,5,workday,5182
2012-12-15,6,weekend,4280
2012-12-16,0,weekend,3248
2012-12-17,1,workday,4373
2012-12-18,2,workday,5124
2012-12-19,3,workday,4934
2012-12-20,4,workday,3814
2012-12-21,5,workday,3402
2012-12-22,6,weekend,1544
2012-12-23,0,weekend,1379
2012-12-24,1,workday,746
2012-12-25,2,weekend,573
2012-12-26,3,workday,432
2012-12-27,4,workday,1867
2012-12-28,5,workday,2451
2012-12-29,6,weekend,1182
2012-12-30,0,weekend,1432
2012-12-31,1,workday,2290
